Ref ID,Renewable Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,"Connection to communal, district or campus heat network","New, renovation or expansion of existing heat network",Number of customer connections,Number of buildings,"Types of Building (domestic, non domestic or mixed)",Types of buildings,Technology Type,Secondary plant technology,Third plant technology,Backup plant technology,Installed Capacity (MWelec),Installed Generation Capacity (MW thermal),Primary Fuel type,Heat Source,Temperature of heat supply (Celsius),Heat Storage,Heat Storage (Volume m3),Heat Enabled,Cooling Enabled,CHP Enabled,Length of distribution network in m,Average diameter of pipes in mm,Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Decommissioned / Abandoned / No Application Made
9995,,19/01/2022,Leicester City Council,The Leys - Internal/External Refurbishments,District,New,,,,Unspecified,EfW Incineration,,,,,,Gas,Heat from Energy from Waste Plants,,,,Yes,,No,,,Planning Permission Granted,Awaiting Construction,"The South of Millerhill Recycling and Energy Recovery Centre, Whitehill Road, Millerhill, Dalkeith",Midlothian,Scotland,Scotland,EH22 1FE,331479,668933,Midlothian,21/00842/MSC,,,,,10/11/2021,,,,,,,12/01/2022,,,,,,,
10006,,29/11/2021,TK Evans & Co,Park Farm - CHP Unit,Communal,New,60,1,Domestic,Residential,Air Source Heat Pumps,,,,0.12,,Electric,,65.00,,,Yes,,No,,,Planning Permission Granted,Awaiting Construction,"Strand Court, 33 Strandfield Close, Plimstead",London,London,England,SE18 1LB,545490,178471,Greenwich,21/4028/F,,,,,19/11/2021,,,,,,,14/01/2022,,,,,,,
10026,,20/03/2024,Energetik,Ponders End Park - Heat Network,Campus,Expansion,1,1,Non Domestic,Hospital,Gas Fired CHP,,,,3.00,,Gas,,,,,Yes,,Yes,,,Planning Permission Granted,Awaiting Construction,"Sainsbury Outpatient Pharmacy Solomon Centre Guys Hospital, St Thomas Street, Southwark",London,London,England,SE1 9RT,532884,180016,Southwark,20/AP/3101,,,,,14/10/2020,,,,,,,08/09/2021,,,,,,,
10027,,30/11/2021,Stonehouse Projects Limited,88 Grosvenor Road - 14 Flats,Communal,New,120,2,Mixed,"Residential, Unspecified Commercial",Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Planning Application Submitted,Application Submitted,"118-120 Larkhall Lane, Clapham",London,London,England,SW4 0QL,529156,175350,Lambeth,21/04093/RG3,,,,,21/10/2021,,,,,,,,,,,,,,
10028,,30/11/2021,Zenith Land Limited,Sowerby Close - 49 Apartments,Communal,New,7,1,Non Domestic,"Office, Retail, Community Hub",Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Under Construction,Under Construction,"Cosy Corner, Harbourside, Porthcawl",Mid Glamorgan,Wales,Wales,CF36 3YR,281761,176599,Bridgend,P/21/1002/BCB,,,,,11/11/2021,,,,,,,27/02/2019,,,,,01/09/2022,,
10029,,20/05/2024,Moira Developments Ltd,Moira House - 33 Apartments & 17 Houses,Communal,New,96,1,Domestic,Residential,Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Planning Permission Granted,Awaiting Construction,"13-15 The Green, Southall",Middlesex,London,England,UB2 4AH,512577,179672,Ealing,216215FUL,,,,,21/10/2021,,,,,,,04/08/2022,,,,,,,
10033,,27/02/2024,Pocket Living Limited,Atlas Wharf Development - 436 Apartments & Commercial Buildings,Communal,New,75,1,Domestic,Residential,Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Planning Permission Granted,Awaiting Construction,"Police Station, Wood Street, Wakefield",West Yorkshire,Yorkshire and Humber,England,WF1 2HJ,433033,421006,Wakefield,21/02523/FUL,,,,,04/11/2021,,,,,,,28/06/2023,,,,28/06/2026,,,
10056,,02/12/2021,The Stage Shoreditch Development Limited,"The Stage, Shoreditch - Restaurant",Campus,New,1,5,Non Domestic,Agricultural,Ground Source Heat Pumps,,,,0.06,,Electric,Shallow Geothermal,,,,Yes,,No,,,Planning Permission Granted,Awaiting Construction,Berwick Lodge Farm Berwick Drive Almondsbury,South Gloucestershire ,South West,England,BS10 7TD ,356040,180749,South Gloucestershire,P21/07176/F,,,,,17/11/2021,,,,,,,30/06/2022,,,,,,,
10057,,01/01/2023,DWP Limited,"Bournemouth Road, Poole - 26 Flats",Communal,New,162,1,Domestic,Residential,Gas Fired CHP,,,,,,Gas,,,,,Yes,,Yes,,,Under Construction,Under Construction,"Dwp, Rockingham House, 123 West Street, City Centre, Sheffield",South Yorkshire,Yorkshire and Humber,England,S1 4ER,434935,387219,Sheffield,21/04208/FUL,,,,,27/10/2021,,,,,,,,,,,,01/01/2023,,
10062,,01/10/2022,Redbridge Living Limited,"Boundary Close, Loxford Lane - 142 Flats & 17 Houses",District,New,326,3,Domestic,Residential,Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Under Construction,Under Construction,"Belgrave Middleway, Former Joseph Chamberlain College, Birmingham Sports Centre, Balsall Heath, Birmingham",West Midlands,West Midlands,England,B12 9FF,407849,284915,Birmingham,2021/00874/PA,,,,,03/02/2021,,,,,,,21/04/2022,,,,,01/10/2022,,
10078,,07/12/2021,Newmarket Holdings Limited,Former Newmarket Police Station - 17 Apartments,District,New,2800,,Mixed,Residential / Commercial,EfW Incineration,,,,,,Gas,Heat from Energy from Waste Plants,,,,Yes,,No,,,Pre-Planning,Pre-Planning,"Shawfair, Dalkeith",Midlothian,Scotland,Scotland,EH22 1SB,332067,669675,Midlothian,,,,,,,,,,,,,,,,,,,,
10096,,20/12/2021,Hill Residential Limited (Cambridge),Colville Road - 63 Flats & 6 Houses,Campus,New,1,2,Non Domestic,Museum,Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Planning Permission Granted,Awaiting Construction,"Nw/O Dunollie House, Ganavan Road, Oban",Argyll And Bute ,Scotland,Scotland,PA34 5TT,185269,731617,Argyll and Bute,19/00617/PP,,,,,29/03/2019,,,,,,,09/10/2019,,,,,,,
10108,,05/10/2022,British Land Corporation Plc,"Canada Water, Zone F - Plots F1 & F2",District,New,,,,Unspecified,Gas Fired CHP,,,,,,Gas,,,,,Yes,,Yes,,,Planning Permission Granted,Awaiting Construction, A124 Barking,Essex,Eastern,England,IG11 8JH,543881,184337,Barking and Dagenham,21/02125/FULL,,,,,20/12/2021,,,,,,,30/08/2022,,,,04/10/2025,,,
10139,,04/01/2022,Dumfries High Street Limited,High Street - Ground Source Heat Pump,Communal,New,6,3,Non Domestic,"Office, Unspecified Commercial",Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Planning Permission Granted,Awaiting Construction,"St Mary-Le-Port, Wine Street, Bristol",South Gloucestershire,South West,England,BS1 2AN,359012,173078,"Bristol, City of",21/03020/F,,,,,28/05/2021,,,,,,,09/09/2022,,,,,,,
10141,,12/01/2024,Eastbourne Borough Council,63 Cavalry Crescent - 14 Apartments & 6 Houses,Communal,New,104,1,Mixed,"Residential, Retail",Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Planning Permission Granted,Awaiting Construction,"Bowling Green Street, Sheffield",South Yorkshire,Yorkshire and Humber,England,S3 8SU,435087,388002,Sheffield,22/01621/FUL,,,,,26/04/2022,,,,,,,13/01/2023,,,,13/01/2026,,,
10151,,04/01/2022,London Borough of Newham,Hathaway Crescent - 72 Flats,Communal,New,15,1,Domestic,Residential,Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Planning Application Submitted,Application Submitted,"13-16 Market Place, Reading",Berkshire,South East,England,RG1 2EG,471723,173482,Reading,230626,,,,,29/06/2023,,,,,,,,,,,,,,
10188,,02/05/2023,Ballymore Group,"Cuba Street, Isle of Dog - 429 Flats & Retail Units",Communal,New,44,1,Domestic,Residential,Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Planning Application Submitted,Application Submitted,"Gringer Hill, Belmont Road, Maidenhead",Berkshire,South East,England,SL6 7LZ,488216,181763,Windsor and Maidenhead,21/03493/FULL,,,,,30/11/2021,,,,,,,,,,,,,,
10206,,07/01/2022,Private Developer,1 Pitshanger Lane - 60 Apartments,District,New,206,4,Mixed,"Residential, Unspecified Commercial",Gas Fired CHP,,,,,,Gas,,,,,Yes,,Yes,,,Under Construction,Under Construction,Wandsworth High Street,London,London,England,SW18 2PP,525815,174588,Wandsworth,2014/5149,,,,,08/10/2014,,,,,,,08/07/2015,,,,01/03/2021,,,
10209,,16/01/2024,First Urban,"Jewsons Yard, Walnut Tree Close - Student Accommodation",District,New,390,3,Mixed,"Residential, Unspecified Commercial, Library",Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Planning Permission Granted,Awaiting Construction,"Church Street, Westminster",London,London,England,W2 1DR,526877,181940,Westminster,21/08160/COOUT,,,,,23/11/2021,,,,,,,30/06/2023,,,,30/06/2026,,,
10210,,07/01/2022,Clarion Housing Group Latimer,"Eastfields, Phase 1 - 147 Flats & 54 Houses",Communal,New,50,1,Domestic,Care Village,Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Planning Permission Granted,Awaiting Construction,"Pincents Lane, Tilehurst",Berkshire,South East,England,RG31 4UQ,465187,172273,West Berkshire,21/03217/FULMAJ,,,,,29/12/2021,,,,,,,21/10/2022,,,,,,,
10213,,07/01/2022,Cloverdown Limited,Forsham House - Care Village,Campus,New,1,3,Non Domestic,Secondary School,Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Under Construction,Under Construction,"Deneholm, Whitley Bay",Tyne and Wear,North East,England,NE25 9AS,434222,572755,North Tyneside,21/02389/FUL,,,,,23/11/2021,,,,,,,09/08/2021,,,,,09/05/2022,,
10218,,30/03/2022,Clyde Gateway Developments Limited,Clyde Gateway Developments Limited - D2 Grids Demonstrator Project,District,New,702,3,Non Domestic,Student Accommodation,Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Under Construction,Under Construction,"The Island Quarter, City Link, Nottingham",Nottinghamshire,East Midlands,England,NG2 4LA,457997,339462,Nottingham,21/01032/PFUL3,,,,,25/05/2021,,,,,,,26/01/2022,,,,,01/07/2022,,
10230,,10/07/2024,Southampton Estates Limited,"Former Debenhams, Queensway - 605 Flats & 9 Houses",District,New,109,3,Domestic,Residential,Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Planning Application Submitted,Application Submitted,"South Worple Way, East Sheen",London,London,England,SW14 8SU,521211,175687,Richmond upon Thames,21/3107/FUL,,,,,06/12/2021,,,,,,,,,,,,,,
10254,,09/12/2021,Muller Dairy UK Limited,Muller Milk & Ingredients - New Milk Production Facilities - Project Opera,Communal,New,86,1,Domestic,Student Accommodation,Gas Fired CHP,,,,,,Gas,,,,,Yes,,Yes,,,Under Construction,Under Construction,"48-50 Iona Street, Edinburgh",Lothian,Scotland,Scotland,EH6 8SW,326751,675124,City of Edinburgh,20/00972/FUL,,,,,27/02/2020,,,,,,,04/12/2020,,,,,,,
10259,,13/12/2021,Three Acacia Place Limited,Clock Parade- 47 Flats & Retail Unit,District,New,1,2,Non Domestic,Industrial,Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Planning Application Submitted,Application Submitted,"Javelin Park, Haresfield, Stonehouse",Gloucestershire,South West,England,GL10 3ET,379995,210411,Stroud,S.21/2579/OUT,,,,,15/11/2021,,,,,,,,,,,,,,
10268,,17/12/2021,King's College Hospital NHS Foundation Trust,Valmar Trading Estate - Mixed Development,District,New,147,2,Mixed,"Residential, Unspecified Commercial",Gas Fired CHP,Air Source heat Pumps,,,,,Gas,,,,,Yes,,Yes,,,Planning Application Submitted,Application Submitted,"Flint Glass Wharf, Charlton",London,London,England,SE7 8NJ,541338,179167,Greenwich,18/0732/F,,,,,27/07/2018,,,,,,,,,,,,,,
10276,,20/12/2021,Twenty Twenty Ilderton Wharf Ltd,Ilderton Wharf - 170 Apartments & Commercial Unit,Communal,New,9,1,Domestic,Residential,Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Planning Permission Granted,Awaiting Construction,"The Green Man, Slough Lane, The Hyde",London,London,England,NW9 8YG,520163,188598,Brent,21/4383,,,,,06/12/2021,,,,,,,27/02/2023,,,,,,,
10278,,20/12/2021,East Sussex College Group,Cross Levels Way - Air Source Heat Pump,Campus,Expansion,1,1,Non Domestic,College,Water Source Heat Pumps,Gas Boiler,,,,,Electric,Shallow Geothermal,,,,Yes,,No,,,Under Construction,Under Construction,"Brighton College, Eastern Road, Brighton",East Sussex,South East,England,BN2 0AL,532363,104014,Brighton and Hove,BH2021/01845,,,,,18/05/2021,,,,,,,,,,,,,,
10318,,14/12/2021,E G Property (Barking) Limited,Barking Road - 24 Flats,Campus,Renovation,1,,Non Domestic,Hospital,Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Planning Permission Granted,Awaiting Construction,"Rake Lane Chp Electricity Sub Station Within North Tyneside General Hospital, Rake Lane, Newcastle Upon Tyne",Tyne And Wear,North East,England,NE27 0QJ,434280,570134,North Tyneside,21/02189/FUL,,,,,13/10/2021,,,,,,,07/12/2021,,,,,,,
10320,,14/12/2021,Areli Real Estate / Tikehau Investment Management,"The Walnuts Shopping Centre - Zone 1 - A1, A2 & A3",Communal,New,,1,Non Domestic,College,Ground Source Heat Pumps,,,,0.40,,Electric,Shallow Geothermal,,,,Yes,,No,,,Operational,Operational,Gloucestershire College Llanthony Road Gloucester ,Gloucestershire,South West,England,GL2 5JQ,382469,218166,Gloucester,21/01078/LAW,,,,,25/11/2021,,,,,,,07/04/2022,,,,,,01/04/2022,
10323,,29/04/2024,NW6 Commercial Limited,254 Kilburn High Road - 13 Apartments,District,New,1,2,Non Domestic,Secondary School,Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Under Construction,Under Construction,"Banbury Road, Kineton",West Midlands,West Midlands,England,CV35 0JX,434167,251185,Stratford-on-Avon,21/03607/PSID,,,,,11/11/2021,,,,,,,,,,,,01/04/2022,,
10324,,25/03/2022,Rapeed Design Shopfitters Limited,Inglemere Road - 20 Flats,Campus,Renovation,1,,Non Domestic,College,Air Source Heat Pumps,,,,,,Electric,,70.00,,,Yes,,No,,,Planning Permission Granted,Awaiting Construction,"Goldsmiths College, Lewisham Way, New Cross",London,London,England,SE14 6YZ,536540,176850,Lewisham,DC/21/123920,,,,,15/10/2021,,,,,,,10/12/2021,,,,,,,
10333,,01/01/2023,Parabola Edinburgh Limited,Edinburgh Park Southern - Phase 2,District,New,159,5,Mixed,"Residential, Community Hub",Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Under Construction,Under Construction,N/O Central Middlesex Hospital,London,London,England,NW10 7NS,520253,182801,Brent,20/0031/FUMOPDC,,,,,25/03/2020,,,,,,,27/07/2020,,,,,,,
10334,,23/12/2021,London & Quadrant Housing Trust ,"Beacon House, 50 Stoke Road - 118 Flats",Communal,New,28,1,Domestic,Residential,Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Planning Application Withdrawn,Application Withdrawn,"Howson Terrace, Richmond Hill,Richmond",Surrey,London,England,TW10 6RU,518075,174304,Richmond upon Thames,21/3774/FUL,,,,,24/11/2021,13/10/2022,,,,,,,,,,,,,
10335,,14/12/2021,Juno MMXX,Newtons Road - 189 Flats/65 Bed Care Home/Leisure Facilities,District,New,,,,Unspecified,Gas Fired CHP,,,,1.00,,Gas,,,,,Yes,,Yes,,,Abandoned,Abandoned,Kepak/St Merryn Pengarnddu Industrial Estate Dowlais Merthyr Tydfil ,Merthyr,Wales,Wales,CF48 2TA,308073,208731,Merthyr Tydfil,P/21/0405,,,,,06/12/2021,,,,,,,,,,,,,,18/11/2022
10338,,23/12/2021,Westrock Limited,"The Boulevard, Northgate - 182  Apartments",Communal,New,12,1,Domestic,Residential,Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Under Construction,Under Construction,"14 16 18 20 22 & 24 College Road, Maidstone",Kent,South East,England,ME15 6YF,576043,155283,Maidstone,21/503843/FULL,,,,,13/12/2021,,,,,,,06/04/2022,,,,,,,
10341,,09/06/2023,PA Housing,"Stourton Nurseries, Stourton Avenue - 68 Flats",Communal,New,28,1,Domestic,Residential,Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Planning Permission Refused,Application Refused,"69-71 Brighton Road And 2 Cavendish Road, Sutton",London,London,England,SM2 5BT,526052,163475,Sutton,DM2022/02085,,,,,28/11/2022,,07/06/2023,,,,,,,,,,,,
10362,,13/12/2021,Telford Homes Plc,"Roding Court, Mill Road - 239 Flats",District,New,1,2,Non Domestic,Industrial,Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Planning Application Submitted,Application Submitted,"Javelin Park, Haresfield, Stonehouse",Gloucestershire,South West,England,GL10 3ET,379995,210411,Stroud,S.21/2579/OUT,,,,,15/11/2021,,,,,,,,,,,,,,
10379,,15/12/2021,Bristol City Council,Dovercourt Road - 76 Apartments & 64 Houses,Communal,New,628,1,Mixed,"Residential, Unspecified Commercial",Air Source Heat Pumps,Water Source Heat Pumps,,,,,Electric,,,,,Yes,,No,,,Planning Application Withdrawn,Application Withdrawn,"Park Place, London",London,London,England,E14 4HJ,537180,180315,Tower Hamlets,PA/21/02292,,,,,10/11/2021,,,,,,,,,,,,,,
10386,,16/12/2021,Torbay Development Agency,"St Kildas, Drew Street - 23 Retirement Flats",Campus,New,1,2,Non Domestic,Student Accommodation,Ground Source Heat Pumps,Gas Boiler,,,,,Electric,Shallow Geothermal,,,,Yes,,No,,,Under Construction,Under Construction,"Wellington College, Dukes Ride, Crowthorne",Berkshire,South East,England,RG45 7PU,483253,163455,Bracknell Forest,20/00945/FUL,,,,,18/11/2020,,,,,,,14/04/2020,,,,,18/07/2022,,
10399,,10/12/2021,Jensco (Wilford Road) Limited,"Wilford Road Laboratories - Student Accommodation, Cafe & Event space",Campus,New,1,,Non Domestic,Hospital,Gas Fired CHP,,,,,,Gas,,,,,Yes,,Yes,,,Planning Application Submitted,Application Submitted,"Royal Victoria Hospital, 274 Grosvenor Road, Belfast",Co. Antrim,Northern Ireland,Northern Ireland,BT12 6BA,144632,529155,Belfast,LA04/2021/1492/F,,,,,16/04/2021,,,,,,,,,,,,,,
10403,,17/01/2022,BEGG (Nominees) Limited,"Canons Road, Bristol - Offices, Commercial & Takeaway",District,New,,,Non Domestic,Industrial,Biofuel CHP,,,,,,Biofuel,,,,,Yes,,Yes,,,Under Construction,Under Construction,"S/O Forest Lane, Alne, York",North Yorkshire,Yorkshire and Humber,England,YO61 1TU,452151,466411,North Yorkshire,NY/2020/0117/FUL,,,,,26/08/2020,,,,,,,18/02/2021,,,,,,,
10404,,17/01/2022,GMS Estates Limited,"Queensway, Phase 1- Office, 49 Flats & Public Realm Improvements",Communal,New,41,4,Domestic,Residential,Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Planning Permission Granted,Awaiting Construction,"British Telecom Local Communications Services, Bibb Way, Ipswich",Suffolk,Eastern,England,IP1 2EQ,615392,244555,Ipswich,21/00456/FUL,,,,,29/04/2021,,,,,,,19/08/2021,,,,,,,
10405,,17/01/2022,Unknown,"Coningham Road, Tillydrone - 31 Houses & 10 Flats",Communal,New,27,1,Domestic,Residential,Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Planning Permission Granted,Awaiting Construction,"87 Blackwall Lane, Greenwich",London,London,England,SE10 0AP,539516,178594,Greenwich,19/0512/F,,,,,13/02/2019,,,,,,,19/12/2019,,,,,,,
10406,,17/01/2022,London Borough of Havering,New Plymouth House & Napier House - 197 Flats,District,New,95,2,Non Domestic,Student Accommodation,Gas Boiler,Air Source Heat Pumps,,,,,Gas,,,,,Yes,,No,,,Planning Permission Refused,Application Refused,"21 Redmans Road, Tower Hamlets",London,London,England,E1 3AQ,535423,181829,Tower Hamlets,PA/21/02115/A1,,,,,24/11/2021,,06/07/2023,,,,,,,,,,,,
10423,,18/01/2022,South West Lifestyle Brands,Royal Clarence Hotel - 23 Flats & Commercial Units,Communal,New,18,3,Domestic,Residential,Gas Boiler,,,,,,Gas,,,,,Yes,No,No,,,Planning Permission Refused,Application Refused,"R/O 189 To 207 & 189 Waldegrave Road, Teddington",Middlesex,London,England,TW11 8LX,515578,171696,Richmond upon Thames,21/3773/FUL,,,,,09/12/2021,,14/04/2023,,,,,,,,,,,,
10424,,18/01/2022,Prospect Wells House Limited,Prospect Wells House - Retail/10 Flats,Communal,New,14,1,Domestic,Residential,Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Planning Application Submitted,Application Submitted,"318 To 324 Katherine Road, Forest Gate",London,London,England,E7 8PG,541500,184387,Newham,21/02741/FUL,,,,,24/11/2021,,,,,,,,,,,,,,
10425,,18/01/2022,Keniston Housing Association Limited,Isabella Drive - 26 Flats,Communal,New,6,1,Domestic,Residential,Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Planning Application Submitted,Application Submitted,"28-32 The Broadway, Northgate, Crawley",West Sussex,South East,England,RH10 1HG,526898,136660,Crawley,CR/2021/0823/FUL,,,,,15/12/2021,,,,,,,,,,,,,,
10426,,18/01/2022,Winfield Holdings S.W. Limited,Nancemeer Farm - 2 Workshops,District,New,412,4,Domestic,Residential,Air Source Heat Pumps,,,,,,Electric,,55.00,,,Yes,No,No,,,Planning Permission Granted,Awaiting Construction,"Harriot Apsley & Pattison Houses, The Redcoat & Redcoat Community Centres, Stepney Green, Tower Hamlets",London,London,England,E1 3DR,535548,181504,Tower Hamlets,PA/21/02703/A1,,,,,13/12/2021,,,,,,,22/09/2022,,,,,,,
10427,,18/01/2022,Green Templeton College,Green Templeton College - Student Accommodation,District,New,84,4,Mixed,"Residential, Gym",Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Under Construction,Under Construction,"Current School Site & To The R/O 341-351 Ladbroke Grove, Btw Barlby Road & Treverton Street, North Kensington",London,London,England,W10 6BH,523899,182043,Kensington and Chelsea,PP/21/07030,,,,,08/12/2021,,,,,,,20/04/2022,,,,01/05/2023,,,
10449,,25/01/2022,Solar 21 Renewable Energy Limited,North Lincolnshire Green Energy Park,District,New,129,3,Mixed,"Residential, Retail",Gas Fired CHP,Gas Boiler,,,,,Gas,,,,,Yes,Yes,Yes,,,Planning Permission Granted,Awaiting Construction,"Brentford High Street Phase 2 Plot J, Brentford",London,London,England,TW8 8EW,517734,177412,Hounslow,00607/BA/P9,,,,,06/12/2021,,,,,,,13/05/2022,,,,,,,
10450,,25/01/2022,London Borough of Ealing Council,Former Northolt Park Social Club - 26 Flats,District,New,181,2,Mixed,"Residential, Retail",Gas Fired CHP,Gas Boiler,,,,,Gas,,,,,Yes,Yes,Yes,,,Planning Application Submitted,Application Submitted,"Brentford High Street Phase 2 Plot E&F, Brentford",London,London,England,TW8 8EW,517734,177412,Hounslow,00607/BA/P9,,,,,06/12/2021,,,,,,,,,,,,,,
10451,,23/11/2023,Maple Springfield Limited,63 - 65 Curzon Street - 42 Flats & Commercial Unit,District,New,515,5,Mixed,"Residential, Unspecified Commercial",Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Under Construction,Under Construction,"S/O Park Avenue, Park Avenue, Southall",London,London,England,UB1 3AD,512908,179962,Ealing,216991FULR3,,,,,10/12/2021,,,,,,,18/05/2022,,,,,01/08/2023,,
10453,,25/01/2022,Barnet Homes,Little Strand - 12 Houses/23 Flats,District,New,3,3,Non Domestic,Office,Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Abandoned,Abandoned,"Junction Of Durham Way South & Durham Way, Aycliffe Business Park, Newton Aycliffe",County Durham,North East,England,DL5 6UY,428021,523276,County Durham,DM/16/01562/FPA,,,,,31/08/2016,,,,,,,,,,,,,,29/06/2023
10454,,25/01/2022,Peabody Trust,Dagenham Green - 3502 Houses/School/Leisure,District,New,56,2,Mixed,"Residential, Unspecified Commercial",Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Planning Permission Granted,Awaiting Construction,"5 Hollybush Place, Bethnal Green",London,London,England,E2 9QX,534889,182830,Tower Hamlets,PA/21/02500/A1,,,,,17/12/2021,,,,,,,15/09/2023,,,,15/09/2026,,,
10455,,25/01/2022,Park Central Developments Limited,Lord Street - 152 Flats and Office Building,Communal,New,17,1,Domestic,Residential,Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Operational,Operational,"Former Council Offices, 27-37 High Street, Swanley",Kent,South East,England,BR8 8AE,551647,168486,Sevenoaks,19/03543/FUL,,,,,10/01/2020,,,,,,,17/06/2020,,,,01/05/2021,,01/11/2022,
10459,,26/01/2022,Present Made,North West Eddington Avenue -  261 Flats & 112 Houses,District,New,,,Mixed,"Residential, Retail, Café",Gas Fired CHP,,,,,,Gas,,,,,Yes,,Yes,,,Planning Permission Granted,Awaiting Construction,"447 Metres, Ne/O 545 Old Dalkeith Road, Dalkeith",Midlothian,Scotland,Scotland,EH22 1SY,330373,669916,Midlothian,21/06584/FUL,,,,,15/12/2021,,,,,,,08/09/2023,,,,,,,
10460,,26/01/2022,Hill Partnerships Limited ,"North West Cambridge Development - Phase 1, Lot S3",District,New,120,102,Domestic,Residential,Gas Fired CHP,,,,,,Gas,,,,,Yes,,Yes,,,Planning Permission Granted,Awaiting Construction,"447 Metres, Ne/O 545 Old Dalkeith Road, Dalkeith",Midlothian,Scotland,Scotland,EH22 1SY,330373,669916,Midlothian,21/05968/AMC,,,,,23/11/2021,,,,,,,27/05/2022,,,,,,,
10461,,26/01/2022,University of Cambridge,North West Cambridge Development - Plots M1 & M2 Phase 1,District,New,192,128,Domestic,Residential,Gas Fired CHP,,,,,,Gas,,,,,Yes,,Yes,,,Under Construction,Under Construction,"447 Metres, Ne/O 545 Old Dalkeith Road, Dalkeith",Midlothian,Scotland,Scotland,EH22 1SY,330373,669916,Midlothian,21/05967/AMC,,,,,23/11/2021,,,,,,,06/04/2023,,,,,01/12/2022,,
10462,,26/01/2022,University of Cambridge,Huntingdon Road - Lot 4 Phase 1 88 Apartments,Communal,New,114,2,Domestic,Residential ,Air Source Heat Pumps,,,,,,Electric,,,,,Yes,,No,,,Appeal Granted,Awaiting Construction,"60-70 & 100, The Highway, 110 Pennington Street, Tower Hamlets",London,London,England,E1W 2BX,534613,180693,Tower Hamlets,PA/21/02513/A1,APP/E5900/W/23/3318344,,,,13/12/2021,,,10/03/2023,,,24/08/2023,05/12/2022,,,,,,,
10481,,28/01/2022,Vattenfall Heat UK Limited,Norman Road - District Heat Network,District,New,,4,Domestic,Residential,Ground Source Heat Pumps,,,,0.15,,Electric,Deep Geothermal,,,,Yes,,No,,,Planning Permission Granted,Awaiting Construction,"Barncroft Heights, Barncroft Court, Barncroft Grange, Barncroft Towers Barncroft Drive Seacroft Leeds ",West Yorkshire,Yorkshire and Humber,England,LS14 1HS,434413,437022,Leeds,21/10188/FU,,,,,21/12/2021,,,,,,,20/05/2022,,,,,,,
10482,,28/01/2022,Highline Investments GP Limited,Doncaster Monk Bridge - Mixed Development and 307 Flats,District,New,,,,Unspecified,Gas Fired CHP,,,,4.00,,Gas,,,,,Yes,,Yes,,,Planning Permission Granted,Awaiting Construction,Innospec Manufacturing Park Oil Sites Road Ellesmere Port ,Cheshire,North West,England,CH65 4EY,341665,376690,Cheshire West and Chester,22/00070/FUL,,,,,07/01/2022,,,,,,,23/08/2022,,,,,,,
